Name	Position	Nationality	Scrabble Score
Alireza Jahanbakhsh	Forward	Iran	49
Jordy Hiwula-Mayifuila	Forward	England	45
Alex Oxlade-Chamberlain	Midfielder	England	45
André-Frank Zambo Anguissa	Midfielder	Cameroon	45
Pierre-Emile Højbjerg	Midfielder	Denmark	43
Jazz Richards	Defender	Wales	43
Brice Dja Djédjé	Defender	Cote D'Ivoire	42
Nabili Zoubdi Touaizi	Forward	Spain	42
Pierre-Emerick Aubameyang	Forward	Gabon	41
Rachid Ghezzal	Midfielder	Algeria	41
Oleksandr Zinchenko	Midfielder	Ukraine	41
Hamza Choudhury	Midfielder	England	40
Florent Hadergjonaj	Defender	Switzerland	40
Shinji Okazaki	Forward	Japan	40
Ezequiel Schelotto	Defender	Italy	40
Cameron Humphreys-Grant	Defender	England	39
José Izquierdo	Forward	Colombia	39
Henrikh Mkhitaryan	Midfielder	Armenia	39
Jeffrey Schlupp	Defender	Ghana	39
Tyreece John-Jules	Forward	England	38
Jonathan Dinzeyi	Defender	England	38
Samuel Sharrock-Peplow	Midfielder	England	38
Lukasz Fabianski	Goalkeeper	Poland	37
Moritz Jenz	Defender	Germany	37
Alexandre Lacazette	Forward	France	37
Xherdan Shaqiri	Forward	Switzerland	37
Jon Gorenc Stankovic	Defender	Slovenia	37
Stephen Duke-McKenna	Midfielder	England	36
Federico Fernández	Defender	Argentina	36
Paulo Gazzaniga	Goalkeeper	Argentina	36
Bartosz Kapustka	Midfielder	Poland	36
Javier Manquillo	Defender	Spain	36
Nathaniel Mendez-Laing	Forward	England	36
Luka Milivojevic	Midfielder	Serbia	36
Christopher Schindler	Defender	Germany	36
Davide Zappacosta	Defender	Italy	36
Taye Ashby-Hammond	Goalkeeper	England	35
Cameron Carter-Vickers	Defender	United States	35
Bobby De Cordova-Reid	Midfielder	England	35
Mihai-Alexandru Dobre	Midfielder	Romania	35
Joseph Gomez	Defender	England	35
Jeff Hendrick	Midfielder	Ireland	35
Maxime Le Marchand	Defender	France	35
Julio Pleguezuelo	Defender	Spain	35
Jonjo Shelvey	Midfielder	England	35
Kepa Arrizabalaga	Goalkeeper	Spain	34
Jack Colback	Midfielder	England	34
Jaroslaw Jach	Defender	Poland	34
Olarenwaju Kayode	Forward	Nigeria	34
Cheikhou Kouyaté	Midfielder	Senegal	34
James McCarthy	Midfielder	Ireland	34
Jordan Pickford	Goalkeeper	England	34
Ian Carlo Poveda-Ocampo	Forward	England	34
Kasper Schmeichel	Goalkeeper	Denmark	34
James Tarkowski	Defender	England	34
Ayoze Pérez	Forward	Spain	33
Timothy Fosu-Mensah	Defender	Netherlands	33
David Junior Hoilett	Forward	Canada	33
Tareiq Holmes-Dennis	Defender	England	33
Kelechi Iheanacho	Forward	Nigeria	33
Eldin Jakupovic	Goalkeeper	Switzerland	33
Lazar Markovic	Midfielder	Serbia	33
Konstantinos Mavropanos	Defender	Greece	33
Georges-Kévin Nkoudou	Midfielder	France	33
Tashan Oakley-Boothe	Midfielder	England	33
Jon Dagur Thorsteinsson	Midfielder	Iceland	33
Jannik Vestergaard	Defender	Denmark	33
James Ward-Prowse	Midfielder	England	33
Georginio Wijnaldum	Midfielder	Netherlands	33
Michy Batshuayi	Forward	Belgium	32
Dominic Calvert-Lewin	Forward	England	32
Anthony Driscoll-Glennon	Defender	England	32
Jason Eyenga Lokilo	Midfielder	The Democratic Republic Of Congo	32
Jake Hesketh	Midfielder	England	32
Johann Gudmundsson	Midfielder	Iceland	32
Jonjoe Kenny	Defender	England	32
Anthony Knockaert	Midfielder	France	32
